dataset,alpha,critic_multiplier,weight_decay,num_seeds,seed_values,diverged_count,all_seeds_present,eligible_for_selection,selection_rank,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,mean_runtime_seconds
linear,0.5,5.0,0.01,3,0|1|2,0,True,True,10,0.006410836232622748,0.006506352588985542,0.004384194636173587,0.014260820996448561,0.014182465398230515,0.007849984763825812,0.005579954460502777,0.0056038970374127015,192.28732204437256
linear,0.5,5.0,0.03,3,0|1|2,0,True,True,11,0.006410836232622748,0.006506352588985542,0.004384194636173587,0.014260820996448561,0.014182465398230515,0.007849984763825812,0.005579954460502777,0.0056038970374127015,197.8070628643036
linear,0.5,5.0,0.1,3,0|1|2,0,True,True,12,0.006410836232622748,0.006506352588985542,0.004384194636173587,0.014260820996448561,0.014182465398230515,0.007849984763825812,0.005579954460502777,0.0056038970374127015,191.3996992111206
linear,0.5,10.0,0.001,3,0|1|2,0,True,True,5,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.00343057443858924,0.0034873923686370347,0.0005566244752773863,0.0011235251957301129,0.0011328840454351012,191.09021917978922
linear,0.5,10.0,0.01,3,0|1|2,0,True,True,6,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.00343057443858924,0.0034873923686370347,0.0005566244752773863,0.0011235251957301129,0.0011328840454351012,198.3009064992269
linear,0.5,10.0,0.03,3,0|1|2,0,True,True,7,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.00343057443858924,0.0034873923686370347,0.0005566244752773863,0.0011235251957301129,0.0011328840454351012,191.97672311464945
linear,0.5,10.0,0.1,3,0|1|2,0,True,True,8,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.00343057443858924,0.0034873923686370347,0.0005566244752773863,0.0011235251957301129,0.0011328840454351012,195.85308162371317
linear,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.0013076243276817499,0.001336199755658146,0.0003532052916814553,0.00025595070882110014,0.0002573893539877013,192.46717508633932
linear,0.5,20.0,0.01,3,0|1|2,0,True,True,2,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.0013076243276817499,0.001336199755658146,0.0003532052916814553,0.00025595070882110014,0.0002573893539877013,193.87921905517578
linear,0.5,20.0,0.03,3,0|1|2,0,True,True,3,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.0013076243276817499,0.001336199755658146,0.0003532052916814553,0.00025595070882110014,0.0002573893539877013,200.21250120798746
linear,0.5,20.0,0.1,3,0|1|2,0,True,True,4,0.0009544190360002945,0.0009676150524905301,0.0007315185579499761,0.0013076243276817499,0.001336199755658146,0.0003532052916814553,0.00025595070882110014,0.0002573893539877013,199.09418288866678
step,0.5,2.0,0.001,3,0|1|2,0,True,True,13,0.032075497806548045,0.032763299765396534,0.003994297119684658,0.07963193040516915,0.08130876067450266,0.04755643259862111,0.006402809248082039,0.006528162083731062,192.4871555964152
