run_id,method,dataset,alpha,seed,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p03,fedogda_s,abs,0.5,2,2.0,0.03,0.11673173778555725,0.11893546588599702,499,0.11673173778555725,0.11893546588599702,0.0,0.001751159897586615,0.0017197983439398656,False,192.74799609184265,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p03
tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p1,fedogda_s,abs,0.5,2,2.0,0.1,0.11673173778555725,0.11893546588599702,499,0.11673173778555725,0.11893546588599702,0.0,0.001751159897586615,0.0017197983439398656,False,199.70315837860107,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p1
tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p001,fedogda_s,abs,0.5,2,5.0,0.001,0.07611832011901515,0.07766127288993799,499,0.07611832011901513,0.07766127288993799,-1.3877787807814457e-17,0.0039030601099108906,0.0039896721849373646,False,191.54355907440186,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p001
tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p01,fedogda_s,abs,0.5,2,5.0,0.01,0.07611832011901515,0.07766127288993799,499,0.07611832011901513,0.07766127288993799,-1.3877787807814457e-17,0.0039030601099108906,0.0039896721849373646,False,199.8542890548706,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p01
tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p03,fedogda_s,abs,0.5,2,5.0,0.03,0.07611832011901515,0.07766127288993799,499,0.07611832011901513,0.07766127288993799,-1.3877787807814457e-17,0.0039030601099108906,0.0039896721849373646,False,193.85840368270874,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p03
tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p1,fedogda_s,abs,0.5,2,5.0,0.1,0.07611832011901515,0.07766127288993799,499,0.07611832011901513,0.07766127288993799,-1.3877787807814457e-17,0.0039030601099108906,0.0039896721849373646,False,199.02297401428223,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm5_wd0p1
tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p001,fedogda_s,abs,0.5,2,10.0,0.001,0.03178155207732554,0.03241663467431333,499,0.031781552077325526,0.03241663467431333,-1.3877787807814457e-17,0.004453335912816272,0.004546152521017554,False,195.54408812522888,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p001
tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p01,fedogda_s,abs,0.5,2,10.0,0.01,0.03178155207732554,0.03241663467431333,499,0.031781552077325526,0.03241663467431333,-1.3877787807814457e-17,0.004453335912816272,0.004546152521017554,False,199.92520999908447,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p01
tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p03,fedogda_s,abs,0.5,2,10.0,0.03,0.03178155207732554,0.03241663467431333,499,0.031781552077325526,0.03241663467431333,-1.3877787807814457e-17,0.004453335912816272,0.004546152521017554,False,193.12943243980408,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p03
tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p1,fedogda_s,abs,0.5,2,10.0,0.1,0.03178155207732554,0.03241663467431333,499,0.031781552077325526,0.03241663467431333,-1.3877787807814457e-17,0.004453335912816272,0.004546152521017554,False,199.85402703285217,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm10_wd0p1
