run_id,source,dataset,method,lr,cm,status,exclusion_category,exclusion_reason,gmm_eval,val_mse,actually_ran_as,run_dir
det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p1_cm10,expansion_1,femnist_xz,fedgda_d,0.1,10.0,eligible,,,-0.000697134193843644,0.10032891119059381,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p1_cm10
det_screen_expand_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm5,expansion_1,femnist_x,fedgda_d,0.1,5.0,eligible,,,-0.0003574421266254079,0.13297079988156554,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_expand_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm5
det_screen_expand_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm10,expansion_1,femnist_x,fedgda_d,0.1,10.0,eligible,,,5.437512170550968e-05,0.12717514729969204,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_expand_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm10
det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p03_cm10,expansion_1,femnist_x,fedogda_d,0.03,10.0,eligible,,,-1.9762347510117773e-05,0.1718304333058063,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p03_cm10
det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm20,expansion_1,femnist_x,fedogda_d,0.01,20.0,eligible,,,-0.0004737900729001011,0.13150994857073287,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm20
det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p03_cm20,expansion_1,femnist_x,fedogda_d,0.03,20.0,excluded,original_screen_or_expansion1_exclusion,metrics.last_50_validation_mse_std is not finite: nan,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_expand_femnist_x_fedogda_d_seed0_alpha0p5_lr0p03_cm20
det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p1_cm10,expansion_1,cifar10_x,fedgda_d,0.1,10.0,eligible,,,3.060519850885084e-05,0.14730461983227675,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedgda_d/seed_0/det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p1_cm10
det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p03_cm20,expansion_1,cifar10_x,fedgda_d,0.03,20.0,eligible,,,-0.00016416556308428718,0.15365601571153964,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedgda_d/seed_0/det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p03_cm20
det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p1_cm20,expansion_1,cifar10_x,fedgda_d,0.1,20.0,eligible,,,8.486637813410346e-06,0.14588661986283688,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedgda_d/seed_0/det_screen_expand_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p1_cm20
det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p03_cm10,expansion_1,cifar10_x,fedogda_d,0.03,10.0,eligible,,,-1.9764800313716037e-05,0.16337461269547507,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p03_cm10
