run_id,method,dataset,seed,alpha,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
rerun_protocol_v1_linear_fedogda_s_seed2_alpha1p0,fedogda_s,linear,2,1.0,10.0,0.1,0.006515009258923614,0.006598469925796079,499,0.006515009258923612,0.006598469925796079,-1.734723475976807e-18,0.0015552350902815603,0.00157286071630491,False,197.05843305587769,results/rerun_protocol_v1/linear/fedogda_s/seed_2/rerun_protocol_v1_linear_fedogda_s_seed2_alpha1p0
rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p1,fedgda_s,sin,0,0.1,10.0,0.03,0.08189453964122478,0.0837320533183688,469,0.08332989461805268,0.08456007782288795,0.0014353549768278961,0.0019336355105426851,0.0018559963523281232,False,179.86852407455444,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p1,fedogda_s,sin,0,0.1,10.0,0.1,0.08732176614876729,0.09010945455345735,402,0.09023609286653238,0.09339011742078997,0.0029143267177650922,0.0014242492320834645,0.0015575349294118246,False,205.30420017242432,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p1
rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p1,fedgda_s,sin,1,0.1,10.0,0.03,0.07080392683672448,0.07252873976572619,486,0.07202875779840277,0.07427679011235436,0.0012248309616782888,0.0039638847670690905,0.0038769841521778684,False,180.46709394454956,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p1,fedogda_s,sin,1,0.1,10.0,0.1,0.07867262636737331,0.08011050574834426,25,0.08489368772199031,0.08786917987176532,0.006221061354617002,0.0009072239881239407,0.0009992318203016514,False,197.877290725708,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p1
rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p1,fedgda_s,sin,2,0.1,10.0,0.03,0.07828553848043666,0.08011009984218251,485,0.08080058846985269,0.08260777252388152,0.0025150499894160266,0.0034568363233218958,0.0038179827442744274,False,181.1746153831482,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p1,fedogda_s,sin,2,0.1,10.0,0.1,0.08382666722090722,0.08660816378567072,420,0.0879878081428872,0.09164056843151362,0.004161140921979986,0.0009305403745012499,0.0011580916636834766,False,204.38344478607178,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p1
rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p5,fedgda_s,sin,0,0.5,10.0,0.03,0.0792361134606482,0.08084465012555463,487,0.0796690112491075,0.0816933093903071,0.0004328977884592994,0.0013432783185414047,0.0015980974612679227,False,183.45447540283203,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p5,fedogda_s,sin,0,0.5,10.0,0.1,0.08778774919932615,0.09058282447044726,429,0.08780325081729268,0.09061746668689433,1.550161796652627e-05,0.0002839971946239374,0.00030532357434507397,False,196.77295804023743,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p5,fedgda_s,sin,1,0.5,10.0,0.03,0.06962375389340376,0.07087975474326494,486,0.07699764720247765,0.0797272999799262,0.007373893309073884,0.005256370521816938,0.0050074225113944555,False,180.3152551651001,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p5,fedogda_s,sin,1,0.5,10.0,0.1,0.0787147350235261,0.08056486794652362,110,0.08362752279051769,0.0861717312897127,0.004912787766991583,0.00019292901133332723,0.00016841489623353872,False,194.87167072296143,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p5,fedgda_s,sin,2,0.5,10.0,0.03,0.08005340943999527,0.08237799902299964,328,0.08149364176445384,0.0834791484525208,0.0014402323244585707,0.0006944345759277761,0.0007056555080627528,False,184.62194681167603,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p5,fedogda_s,sin,2,0.5,10.0,0.1,0.08430162928833569,0.08727304203073737,428,0.08626771445910998,0.08979218948399119,0.00196608517077429,0.0006178319580303596,0.0007326263087385919,False,201.11132979393005,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed0_alpha1p0,fedgda_s,sin,0,1.0,10.0,0.03,0.07785834910472307,0.07978549290839898,496,0.0795006670453152,0.08108717190987186,0.0016423179405921223,0.0006915059866235945,0.000720592025911935,False,179.6273431777954,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed0_alpha1p0,fedogda_s,sin,0,1.0,10.0,0.1,0.08766009975474562,0.09043478549269746,337,0.08824683995463622,0.09083144180882212,0.0005867401998906063,6.053511241804236e-05,8.888550897794874e-05,False,203.4080319404602,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha1p0
rerun_protocol_v1_sin_fedgda_s_seed1_alpha1p0,fedgda_s,sin,1,1.0,10.0,0.03,0.0737639576598922,0.0756283265223583,440,0.0773487233993059,0.08038967788338648,0.0035847657394137006,0.005371661018056886,0.005436830554218018,False,182.17711400985718,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed1_alpha1p0,fedogda_s,sin,1,1.0,10.0,0.1,0.07891249461221363,0.08047187678032089,110,0.08413530001373602,0.08668815052905639,0.005222805401522396,0.00024211538522992036,0.00034631853582312353,False,194.86729860305786,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha1p0
