artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_vs_final_max_abs_diff,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,selection_metric_source,test_mse_used_for_selection,included,prediction_path,result_dir
a0035,base_sweep,abs,fedogda_s,FedOGDA-S,1.0,2,best_validation_prediction,0.03441503768257782,0.1528769572710351,0.7714116847390695,0.0,0.033496169643517024,499,0.03441503768257774,0.03441503768257774,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0
a0036,base_sweep,step,fedgda_d,FedGDA-D,0.1,0,best_validation_prediction,0.030866804096569007,0.14781859554375604,0.6318522796135362,0.0,0.030322443227099417,499,0.03086680409656931,0.03086680409656931,,,True,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1
a0037,base_sweep,step,fedgda_s,FedGDA-S,0.1,0,best_validation_prediction,0.028218572987749758,0.13893149448504122,0.6641326554868723,0.16876561086460729,0.027814618496127007,484,0.028218572987749786,0.030328771864915057,,,True,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1
a0038,base_sweep,step,fedogda_d,FedOGDA-D,0.1,0,best_validation_prediction,0.029737169081041185,0.14530813158921568,0.6095545090654413,0.0,0.02921026609151715,499,0.029737169081041237,0.029737169081041237,,,True,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1
a0039,base_sweep,step,fedogda_s,FedOGDA-S,0.1,0,best_validation_prediction,0.030507676798837303,0.14650579895805682,0.664112034776196,0.11757502014633903,0.029913518146718273,424,0.030507676798837383,0.030763924088293693,,,True,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1
a0040,base_sweep,step,fedgda_d,FedGDA-D,0.1,1,best_validation_prediction,0.026199452397859688,0.13734567768807904,0.5057212217860227,0.14946238827367786,0.02582644307823007,180,0.026199452397859823,0.029118501856528745,,,True,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1
a0041,base_sweep,step,fedgda_s,FedGDA-S,0.1,1,best_validation_prediction,0.02521837992637534,0.13367496316704072,0.5283513324094541,0.15537926166619942,0.02486079364546243,487,0.025218379926375142,0.027310156296552653,,,True,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1
a0042,base_sweep,step,fedogda_d,FedOGDA-D,0.1,1,best_validation_prediction,0.025583613629379793,0.13558957715473216,0.47441079035006967,0.14083687594560956,0.025220696416826668,176,0.02558361362937985,0.02840525154144172,,,True,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1
a0043,base_sweep,step,fedogda_s,FedOGDA-S,0.1,1,best_validation_prediction,0.02515483355049593,0.13404187549805074,0.4897659075631716,0.24376261158053292,0.024838549409417442,114,0.02515483355049589,0.029347608216447208,,,True,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1
a0044,base_sweep,step,fedgda_d,FedGDA-D,0.1,2,best_validation_prediction,0.03229769040604744,0.14325138088285558,0.7504707597309583,0.0,0.03159464000232325,499,0.03229769040604756,0.03229769040604756,,,True,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1
a0045,base_sweep,step,fedgda_s,FedGDA-S,0.1,2,best_validation_prediction,0.02844207254133192,0.14133906919431505,0.5424486854323772,0.011675634724217177,0.02808520238906342,486,0.028442072541331992,0.028457605743916845,,,True,results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p1
a0046,base_sweep,step,fedogda_d,FedOGDA-D,0.1,2,best_validation_prediction,0.0322438772478944,0.1432135249007693,0.7536435569564595,0.023049855361821803,0.031533961758296154,487,0.03224387724789442,0.03232231897141619,,,True,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1
