source_family,dataset,function,alpha,seed,fedgda_curve_mse,fedogda_curve_mse,curve_mse_gap_fedogda_minus_fedgda,fedgda_curve_mae,fedogda_curve_mae,curve_mae_gap_fedogda_minus_fedgda,fedgda_curve_max_abs_error,fedogda_curve_max_abs_error,curve_max_abs_gap_fedogda_minus_fedgda,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,test_mse_gap_fedogda_minus_fedgda,winner_by_curve_mse,winner_by_test_mse
base_sweep,step,Step,0.1,1,0.026199452397859688,0.025583613629379793,-0.0006158387684798948,0.13734567768807904,0.13558957715473216,-0.001756100533346877,0.5057212217860227,0.47441079035006967,-0.03131043143595308,0.026199452397859823,0.02558361362937985,-0.0006158387684799746,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,0.1,2,0.03229769040604744,0.0322438772478944,-5.381315815304599e-05,0.14325138088285558,0.1432135249007693,-3.785598208627672e-05,0.7504707597309583,0.7536435569564595,0.0031727972255011228,0.03229769040604756,0.03224387724789442,-5.381315815314314e-05,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,0.5,0,0.03073546678869229,0.02975014439663431,-0.0009853223920579801,0.14762181301412589,0.14532322899300804,-0.00229858402111785,0.6273550769105858,0.6070380250218794,-0.02031705188870636,0.030735466788692038,0.02975014439663422,-0.000985322392057817,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,0.5,1,0.026198112628441312,0.02557044736397931,-0.0006276652644620004,0.13726142014029302,0.13559156308261958,-0.0016698570576734462,0.5172246138221683,0.4693352639690906,-0.047889349853077745,0.02619811262844118,0.025570447363979242,-0.0006276652644619379,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,0.5,2,0.03224288416941603,0.03221464618447056,-2.8237984945465866e-05,0.14334304515488602,0.1432765787743459,-6.646638054011444e-05,0.7523449690230013,0.7547115794627053,0.0023666104397039867,0.032242884169416,0.03221464618447051,-2.823798494549362e-05,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,1.0,0,0.03070330763375415,0.029694188483456525,-0.0010091191502976243,0.1476153580586181,0.14523716138199985,-0.0023781966766182605,0.6307223562386972,0.6118976283510227,-0.01882472788767453,0.030703307633754083,0.029694188483456414,-0.0010091191502976694,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,1.0,1,0.026134598836368168,0.025550007682638282,-0.0005845911537298853,0.13707429425927467,0.13548564855990516,-0.0015886456993695064,0.5136420152018304,0.47339445744719283,-0.040247557754637564,0.026134598836368095,0.025550007682638518,-0.0005845911537295766,FedOGDA-D,FedOGDA-D
base_sweep,step,Step,1.0,2,0.03218819372109493,0.032175085007705835,-1.3108713389095583e-05,0.14326572580621072,0.14323266700352355,-3.305880268716921e-05,0.7505654988814441,0.7540163722550279,0.0034508733735838515,0.03218819372109492,0.03217508500770567,-1.3108713389248239e-05,FedOGDA-D,FedOGDA-D
base_sweep,linear,Linear,0.1,0,0.000419942932460914,0.0004370743968414306,1.7131464380516607e-05,0.015798669931084253,0.016348013777257,0.0005493438461727472,0.11979143427597672,0.11299441814593303,-0.006797016130043687,0.00041994293246091114,0.00043707439684143045,1.7131464380519318e-05,FedGDA-D,FedGDA-D
base_sweep,linear,Linear,0.1,1,0.0014605749687742883,0.0007680780602386166,-0.0006924969085356717,0.03149363903296372,0.022662055609843173,-0.008831583423120546,0.2020789009560029,0.1236800490040113,-0.07839885195199159,0.0014605749687742857,0.000768078060238619,-0.0006924969085356666,FedOGDA-D,FedOGDA-D
