artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_path,result_dir,prediction_key_used,final_prediction_key_used,pred_finite,x_shape,true_g_shape,pred_shape,included,skip_reason,notes
a0047,base_sweep,step,fedogda_s,FedOGDA-S,0.1,2,results/rerun_protocol_v1/step/fedogda_s/seed_2/rerun_protocol_v1_step_fedogda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_2/rerun_protocol_v1_step_fedogda_s_seed2_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0048,base_sweep,step,fedgda_d,FedGDA-D,0.5,0,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0049,base_sweep,step,fedgda_s,FedGDA-S,0.5,0,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0050,base_sweep,step,fedogda_d,FedOGDA-D,0.5,0,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0051,base_sweep,step,fedogda_s,FedOGDA-S,0.5,0,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0052,base_sweep,step,fedgda_d,FedGDA-D,0.5,1,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0053,base_sweep,step,fedgda_s,FedGDA-S,0.5,1,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0054,base_sweep,step,fedogda_d,FedOGDA-D,0.5,1,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0055,base_sweep,step,fedogda_s,FedOGDA-S,0.5,1,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0056,base_sweep,step,fedgda_d,FedGDA-D,0.5,2,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0057,base_sweep,step,fedgda_s,FedGDA-S,0.5,2,results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0058,base_sweep,step,fedogda_d,FedOGDA-D,0.5,2,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0059,base_sweep,step,fedogda_s,FedOGDA-S,0.5,2,results/rerun_protocol_v1/step/fedogda_s/seed_2/rerun_protocol_v1_step_fedogda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/step/fedogda_s/seed_2/rerun_protocol_v1_step_fedogda_s_seed2_alpha0p5,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0060,base_sweep,step,fedgda_d,FedGDA-D,1.0,0,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0061,base_sweep,step,fedgda_s,FedGDA-S,1.0,0,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha1p0,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
