source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_validation_mse,test_mse_at_best_validation,final_test_mse,included,prediction_path,result_dir
base_sweep,linear,fedgda_d,FedGDA-D,0.1,2,best_validation_prediction,0.010981465111731,0.0855059944480154,0.5110967037439109,0.0108595727230222,0.0109814651117309,0.0120191330744313,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1
base_sweep,linear,fedgda_d,FedGDA-D,0.5,0,best_validation_prediction,0.0004200587930385,0.0157999928461857,0.1183461880713436,0.0004174359611956,0.0004200587930385,0.0012155682081471,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p5
base_sweep,linear,fedgda_d,FedGDA-D,0.5,1,best_validation_prediction,0.0013492627216256,0.029332691562546,0.200081958443782,0.0013490594938817,0.0013492627216256,0.0030593528904176,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p5
base_sweep,linear,fedgda_d,FedGDA-D,0.5,2,best_validation_prediction,0.0109298075390691,0.0860279903643961,0.4491386479904478,0.0106003532963832,0.0109298075390691,0.0109298075390691,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p5
base_sweep,linear,fedgda_d,FedGDA-D,1.0,0,best_validation_prediction,0.0004227994945007,0.0156834103211887,0.1207001542858317,0.0004203832184381,0.0004227994945007,0.0011833382733803,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha1p0
base_sweep,linear,fedgda_d,FedGDA-D,1.0,1,best_validation_prediction,0.0012460202309047,0.026803198923791,0.1972170251636662,0.0012464535657295,0.0012460202309047,0.0035468467741054,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha1p0
base_sweep,linear,fedgda_d,FedGDA-D,1.0,2,best_validation_prediction,0.0108048738239335,0.0856159800995117,0.4455374414252671,0.0104819292188082,0.0108048738239335,0.0108048738239335,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha1p0
base_sweep,linear,fedgda_s,FedGDA-S,0.1,0,best_validation_prediction,6.552064568177566e-05,0.005727058910017,0.0245926828637437,6.481662991840837e-05,6.552064568177548e-05,0.0008994462719826,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p1
base_sweep,linear,fedgda_s,FedGDA-S,0.1,1,best_validation_prediction,0.0007707277504424,0.0258140137520892,0.0518785594092845,0.00076718821964,0.0007707277504424,0.0243907393099345,True,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p1
base_sweep,linear,fedgda_s,FedGDA-S,0.1,2,best_validation_prediction,0.0003183418505488,0.0151706277291926,0.06931606560252,0.0003148451342411,0.0003183418505488,0.0049113747627645,True,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p1
