family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,gda,deterministic,centralized,,500,,0,0.005,0.01,,,0,1,1,1,0,0,0.1027194008819034,0.0,0.10363913679866546,0.0,0.17390481500167065,0.0,0.17288187416014494,0.0,159.9971101284027,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,1,1,0,0,0.09374256732495806,0.0,0.0948203372384028,0.0,0.09753548528456497,0.0,0.09890828284303067,0.0,381.527845621109,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,sgda,stochastic,centralized,,500,,256,0.001,0.03,,,0,1,1,1,0,0,0.12073985020304279,0.0,0.12037234241875276,0.0,0.12073985020304279,0.0,0.12037234241875276,0.0,73.46384835243225,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,sgda,stochastic,centralized,,500,,256,0.002,0.01,,,0,1,1,1,0,0,0.10984450528526597,0.0,0.11027708949355292,0.0,0.13802280729274682,0.0,0.13787484643770534,0.0,236.162428855896,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,sgda,stochastic,centralized,,500,,256,0.002,0.03,,,0,1,1,1,0,0,0.10465473144780219,0.0,0.10508070310290886,0.0,0.11322718469380684,0.0,0.11453220614004052,0.0,169.86829686164856,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,sgda,stochastic,centralized,,500,,256,0.005,0.01,,,0,1,1,1,0,0,0.1023126864132813,0.0,0.10322600484614784,0.0,0.16768687406986627,0.0,0.16677257957688202,0.0,231.0481595993042,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,1,1,0,0,0.09440103388577842,0.0,0.09568293542117115,0.0,0.10278271386847965,0.0,0.1042182379283322,0.0,186.57301473617554,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,gda,deterministic,centralized,,500,,0,0.001,0.03,,,0,1,1,1,0,0,0.08954183956304662,0.0,0.09061435418003529,0.0,0.08954183956304662,0.0,0.09061435418003529,0.0,118.0921700000763,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,gda,deterministic,centralized,,500,,0,0.002,0.01,,,0,1,1,1,0,0,0.058687260310526526,0.0,0.05886856537455003,0.0,0.08636648850905945,0.0,0.08791839623799273,0.0,159.7633454799652,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,gda,deterministic,centralized,,500,,0,0.002,0.03,,,0,1,1,1,0,0,0.04994864171735635,0.0,0.05021967337183124,0.0,0.06117204107858569,0.0,0.06139406724636595,0.0,166.78615021705627,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,gda,deterministic,centralized,,500,,0,0.005,0.01,,,0,1,1,1,0,0,0.04808343360907429,0.0,0.048441317593093385,0.0,0.1266717767192224,0.0,0.1263665446168391,0.0,110.32291841506958,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,1,1,0,0,0.03809920333915281,0.0,0.03836291758160272,0.0,0.04189398356261052,0.0,0.04219264190675902,0.0,117.66667199134827,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,sgda,stochastic,centralized,,500,,256,0.001,0.03,,,0,1,1,1,0,0,0.09062553651946849,0.0,0.09168451798106098,0.0,0.09062553651946849,0.0,0.09168451798106098,0.0,65.12395668029785,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,sgda,stochastic,centralized,,500,,256,0.002,0.01,,,0,1,1,1,0,0,0.057856206815838127,0.0,0.05801314423854464,0.0,0.08310622254412282,0.0,0.08453873944253415,0.0,85.48765301704407,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,sgda,stochastic,centralized,,500,,256,0.002,0.03,,,0,1,1,1,0,0,0.04973180486883847,0.0,0.05000369577479201,0.0,0.0658445543872806,0.0,0.06607260721771345,0.0,74.81494498252869,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,sgda,stochastic,centralized,,500,,256,0.005,0.01,,,0,1,1,1,0,0,0.04745803556154531,0.0,0.04781567133945929,0.0,0.11913620196446513,0.0,0.11887291629835597,0.0,73.01207327842712,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,step,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,1,1,0,0,0.03829504144146457,0.0,0.0385907852720464,0.0,0.04871841070722711,0.0,0.0489508200444193,0.0,86.82198762893677,0.0
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,abs,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,2,2,1|2,0,0.05526580996470328,0.0722114520760253,0.05709604221492066,0.07458496793490674,0.05526580996470328,0.0722114520760253,0.05709604221492066,0.07458496793490674,284.64543533325195,162.91733299480916
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,abs,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,2,2,1|2,0,0.05680190527284121,0.07538500400900675,0.0586517533899312,0.07783380059037565,0.05680190527284121,0.07538500400900675,0.0586517533899312,0.07783380059037565,250.58497309684753,45.75029919721638
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,linear,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,2,2,1|2,0,0.0063691725824676065,0.007607202722265163,0.006517172992989029,0.007814437455470485,0.03778454228901975,0.018456000207148448,0.0381943330005354,0.017232258927927898,170.19306790828705,26.883162151815206
