artifact_status,family,phase,dataset,method,mode,training_scope,seed,partition_alpha,run_id,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_validation_mse,final_test_mse,runtime_seconds,diverged,selection_metric_source,test_mse_used_for_selection,test_mse_logged_by_round,has_mse_by_round,has_predictions,has_best_validation_checkpoint,config_path,metrics_path
primary,centralized_lowdim_v1,,linear,sgda,stochastic,centralized,1,,centralized_linear_sgda_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.06452482129498024,499,0.06631273920384893,0.06452482129498024,0.06631273920384893,24.74034810066223,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/sgda/seed_1/effective_config.json,results/centralized_lowdim_v1/linear/sgda/seed_1/metrics.json
primary,centralized_lowdim_v1,,linear,sgda,stochastic,centralized,2,,centralized_linear_sgda_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.0009429984136287884,348,0.0009483001223162807,0.089894662303383,0.08904819522382375,20.709988594055176,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/sgda/seed_2/effective_config.json,results/centralized_lowdim_v1/linear/sgda/seed_2/metrics.json
primary,centralized_lowdim_v1,,sin,gda,deterministic,centralized,0,,centralized_sin_gda_seed0,500,,0,0.001,0.01,,,0.0,1.0,0.12718338261990475,499,0.1267199772525377,0.12718338261990475,0.1267199772525377,33.79173469543457,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/gda/seed_0/effective_config.json,results/centralized_lowdim_v1/sin/gda/seed_0/metrics.json
primary,centralized_lowdim_v1,,sin,gda,deterministic,centralized,1,,centralized_sin_gda_seed1,500,,0,0.001,0.01,,,0.0,1.0,0.0908438636176544,288,0.09126717923584174,0.11897761672623837,0.1207480899856818,29.32490611076355,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/gda/seed_1/effective_config.json,results/centralized_lowdim_v1/sin/gda/seed_1/metrics.json
primary,centralized_lowdim_v1,,sin,gda,deterministic,centralized,2,,centralized_sin_gda_seed2,500,,0,0.001,0.01,,,0.0,1.0,0.08270152205458578,208,0.08542069344278429,0.1048064048013089,0.10901802590546295,30.43090581893921,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/gda/seed_2/effective_config.json,results/centralized_lowdim_v1/sin/gda/seed_2/metrics.json
primary,centralized_lowdim_v1,,sin,oadam,stochastic,centralized,0,,centralized_sin_oadam_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.040151246673851296,499,0.04136998921084803,0.040151246673851296,0.04136998921084803,21.49788475036621,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/oadam/seed_0/effective_config.json,results/centralized_lowdim_v1/sin/oadam/seed_0/metrics.json
primary,centralized_lowdim_v1,,sin,oadam,stochastic,centralized,1,,centralized_sin_oadam_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.033902544024302116,498,0.03458292035956873,0.034170298085305736,0.03504909269508951,22.856196403503418,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/oadam/seed_1/effective_config.json,results/centralized_lowdim_v1/sin/oadam/seed_1/metrics.json
primary,centralized_lowdim_v1,,sin,oadam,stochastic,centralized,2,,centralized_sin_oadam_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.03633342841104923,495,0.037075447951065,0.04699258565565941,0.04795475344200251,21.46449041366577,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/oadam/seed_2/effective_config.json,results/centralized_lowdim_v1/sin/oadam/seed_2/metrics.json
primary,centralized_lowdim_v1,,sin,sgda,stochastic,centralized,0,,centralized_sin_sgda_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.1266432717007928,499,0.1262000032522723,0.1266432717007928,0.1262000032522723,24.761783123016357,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/sgda/seed_0/effective_config.json,results/centralized_lowdim_v1/sin/sgda/seed_0/metrics.json
primary,centralized_lowdim_v1,,sin,sgda,stochastic,centralized,1,,centralized_sin_sgda_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.0918007586956468,288,0.09220328635334309,0.11843874256069725,0.12024041422283735,21.71366786956787,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/sgda/seed_1/effective_config.json,results/centralized_lowdim_v1/sin/sgda/seed_1/metrics.json
primary,centralized_lowdim_v1,,sin,sgda,stochastic,centralized,2,,centralized_sin_sgda_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.0825259977797009,206,0.08519411890375429,0.10570090486864434,0.1099107387781187,21.275120735168457,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/sin/sgda/seed_2/effective_config.json,results/centralized_lowdim_v1/sin/sgda/seed_2/metrics.json
primary,centralized_lowdim_v1,,step,gda,deterministic,centralized,0,,centralized_step_gda_seed0,500,,0,0.001,0.01,,,0.0,1.0,0.0998471966266708,499,0.10085418027316843,0.0998471966266708,0.10085418027316843,33.70096826553345,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/gda/seed_0/effective_config.json,results/centralized_lowdim_v1/step/gda/seed_0/metrics.json
primary,centralized_lowdim_v1,,step,gda,deterministic,centralized,1,,centralized_step_gda_seed1,500,,0,0.001,0.01,,,0.0,1.0,0.04602864234186397,340,0.046356853424594814,0.054742805222487104,0.05478953064708052,30.895087957382202,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/gda/seed_1/effective_config.json,results/centralized_lowdim_v1/step/gda/seed_1/metrics.json
primary,centralized_lowdim_v1,,step,gda,deterministic,centralized,2,,centralized_step_gda_seed2,500,,0,0.001,0.01,,,0.0,1.0,0.02711343899349277,227,0.02756616175977892,0.05922505792497569,0.06080034816648595,29.252209663391113,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/gda/seed_2/effective_config.json,results/centralized_lowdim_v1/step/gda/seed_2/metrics.json
primary,centralized_lowdim_v1,,step,oadam,stochastic,centralized,0,,centralized_step_oadam_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.017543878947170563,492,0.017875128368278575,0.03204642295690591,0.03242381415706493,25.630146741867065,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/oadam/seed_0/effective_config.json,results/centralized_lowdim_v1/step/oadam/seed_0/metrics.json
primary,centralized_lowdim_v1,,step,oadam,stochastic,centralized,1,,centralized_step_oadam_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.01673041167963161,499,0.01689954924351908,0.01673041167963161,0.01689954924351908,22.608894109725952,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/oadam/seed_1/effective_config.json,results/centralized_lowdim_v1/step/oadam/seed_1/metrics.json
primary,centralized_lowdim_v1,,step,oadam,stochastic,centralized,2,,centralized_step_oadam_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.016643408641366625,498,0.01686736490852871,0.017339779956155148,0.017579706108875708,21.607488870620728,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/step/oadam/seed_2/effective_config.json,results/centralized_lowdim_v1/step/oadam/seed_2/metrics.json
