dataset,method,seed,g_lr,f_lr,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_test_mse,finite_history,diverged,runtime_seconds,wall_runtime_seconds,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_slope,centralized_config_valid,notes
linear,sgda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,479,0.020614207327313533,0.020985866774093795,0.03201860365258621,True,False,76.92665266990662,78.46313548088074,0.026983060120267313,0.006391432132706248,-0.00026567134724364783,True,
linear,sgda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,360,0.025330923737568047,0.02619095663036838,0.13382478782874746,True,False,69.22218227386475,70.66097116470337,0.1510984032440244,0.00592679665700435,-0.00016595133944609055,True,
linear,sgda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,276,0.022069915768621634,0.022509430058715103,0.1310250330120953,True,False,70.92970085144043,72.47641277313232,0.06541381801359619,0.02844146424705556,0.0005546969803936884,True,
linear,sgda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,434,0.010889469178672782,0.011146386879056738,0.09941223116147384,True,False,64.2149977684021,65.65770316123962,0.07385113135868857,0.026330817653017508,0.0017660343096173427,True,
sin,gda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.12003214452834009,0.11967369173503013,0.11967369173503013,True,False,191.06335830688477,192.50368571281433,0.13449194080047328,0.009566083553622751,-0.0006541747663511965,True,
sin,gda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,284,0.10981624437456274,0.11017645070057991,0.1410283753305926,True,False,137.0080041885376,138.46295976638794,0.13400249291706964,0.004680018284700531,0.00031897963654149675,True,
sin,gda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,343,0.1048110575712053,0.10522408631618516,0.10978685299510332,True,False,195.1083037853241,196.72224020957947,0.11659539477114807,0.004588112057089069,-0.00031425255495837044,True,
sin,gda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,454,0.1027194008819034,0.10363913679866546,0.17288187416014494,True,False,159.9971101284027,161.50563406944275,0.1312405658738325,0.02455132617982776,0.0016552789402577625,True,
sin,gda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,470,0.09374256732495806,0.0948203372384028,0.09890828284303067,True,False,381.527845621109,383.1701226234436,0.09476303175542175,0.0010431941942304853,4.4568833722866174e-05,True,
sin,sgda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/sgda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.12073985020304279,0.12037234241875276,0.12037234241875276,True,False,73.46384835243225,74.94052219390869,0.1353447642387513,0.009666569312225119,-0.000661057612044444,True,
