alpha,dataset,method,seed,run_id,result_dir,source,method_label,round_rows,comm_round,client_num_in_total,client_num_per_round,epochs,batch_size,learning_rate,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,runtime_seconds,append_round_csv,skip_model_selection,skip_gmm_eval,auxiliary_regression,auxiliary_regression_epochs,periodic_checkpoint_interval,test_mse_used_for_selection
0.1,femnist_x,fedgda_s,3,highdim_abs_femnist_x_fedgda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_3/highdim_abs_femnist_x_fedgda_s_seed3_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.15661864567370287,11,0.15832785606417696,2.7441149218906076,653.6248741149902,True,False,False,True,3,200,False
0.1,femnist_x,fedgda_s,4,highdim_abs_femnist_x_fedgda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_4/highdim_abs_femnist_x_fedgda_s_seed4_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.17414909724422833,10,0.17692945975355945,1.4171434221345887,610.5503082275391,True,False,False,True,3,200,False
0.1,femnist_x,fedogda_s,0,highdim_abs_femnist_x_fedogda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_0/highdim_abs_femnist_x_fedogda_s_seed0_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.15628554244569814,24,0.15806042974136386,0.7390674736261693,694.376118183136,True,False,False,True,3,200,False
0.1,femnist_x,fedogda_s,1,highdim_abs_femnist_x_fedogda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_1/highdim_abs_femnist_x_fedogda_s_seed1_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.13163409641278231,49,0.13359515602056032,3.0734186499094887,664.1101965904236,True,False,False,True,3,200,False
0.1,femnist_x,fedogda_s,2,highdim_abs_femnist_x_fedogda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_2/highdim_abs_femnist_x_fedogda_s_seed2_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.15810036526183346,59,0.158330567222869,0.7897390995113894,689.7969913482666,True,False,False,True,3,200,False
0.1,femnist_x,fedogda_s,3,highdim_abs_femnist_x_fedogda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_3/highdim_abs_femnist_x_fedogda_s_seed3_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.15979934376573235,29,0.15946041193138794,1.265400207859786,634.2174828052521,True,False,False,True,3,200,False
0.1,femnist_x,fedogda_s,4,highdim_abs_femnist_x_fedogda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_4/highdim_abs_femnist_x_fedogda_s_seed4_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.15794912951133,26,0.16085352849301623,1.890749617127678,645.3421444892883,True,False,False,True,3,200,False
0.1,femnist_xz,fedgda_s,0,highdim_abs_femnist_xz_fedgda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_0/highdim_abs_femnist_xz_fedgda_s_seed0_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.1499493505352699,51,0.1533707566480856,0.29966965507839965,985.4420464038849,True,False,False,True,3,200,False
0.1,femnist_xz,fedgda_s,1,highdim_abs_femnist_xz_fedgda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_1/highdim_abs_femnist_xz_fedgda_s_seed1_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.13528368447673414,131,0.13697988057383742,0.2609257616020696,985.6740529537201,True,False,False,True,3,200,False
0.1,femnist_xz,fedgda_s,2,highdim_abs_femnist_xz_fedgda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_2/highdim_abs_femnist_xz_fedgda_s_seed2_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.17311169429161,34,0.17149525773354843,0.8852645317621073,983.5939385890961,True,False,False,True,3,200,False
